"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.304428700E-2,-2.999999933E-2,-4.600000009E-2,-1.319999993E-1,1.429685272E-1
6.278101300E-2,-3.999999911E-2,-7.100000232E-2,-2.080000043E-1,2.233942749E-1
7.251785900E-2,-7.000000030E-2,-1.319999993E-1,-4.029999971E-1,4.298057672E-1
8.225456000E-2,-2.099999934E-1,-1.819999963E-1,-4.480000138E-1,5.271887786E-1
9.199140500E-2,-2.619999945E-1,-1.700000018E-1,-3.070000112E-1,4.379417822E-1
1.017280990E-1,-1.920000017E-1,-1.729999930E-1,-7.400000095E-2,2.688289388E-1
1.114649430E-1,-7.100000232E-2,-2.060000002E-1,1.439999938E-1,2.611761831E-1
1.212016370E-1,1.030000001E-1,-2.150000036E-1,3.070000112E-1,3.886939779E-1
1.309384820E-1,1.780000031E-1,-1.850000024E-1,3.140000105E-1,4.055921703E-1
1.406751660E-1,2.380000055E-1,-1.209999993E-1,2.380000055E-1,3.576716442E-1
1.504117810E-1,3.619999886E-1,-9.200000018E-2,2.039999962E-1,4.255866424E-1
1.601486060E-1,5.360000134E-1,-3.799999878E-2,2.300000042E-1,5.844997999E-1
1.698853000E-1,6.039999723E-1,8.999999613E-3,2.049999982E-1,6.379043548E-1
1.796221540E-1,5.989999771E-1,9.300000221E-2,1.500000060E-1,6.244597463E-1
1.893588480E-1,4.920000136E-1,1.369999945E-1,1.720000058E-1,5.389035293E-1
1.990957020E-1,3.840000033E-1,1.620000005E-1,1.659999937E-1,4.486156491E-1
2.088323960E-1,2.960000038E-1,1.850000024E-1,7.500000298E-2,3.570238138E-1
2.185692450E-1,2.500000000E-1,1.899999976E-1,-1.799999923E-2,3.145218579E-1
2.283059390E-1,2.099999934E-1,2.220000029E-1,-6.499999762E-2,3.124243880E-1
2.380427790E-1,1.490000039E-1,2.249999940E-1,-4.199999943E-2,2.731116959E-1
2.477794730E-1,1.209999993E-1,2.029999942E-1,-4.000000190E-3,2.363598897E-1
2.575163460E-1,1.030000001E-1,1.089999974E-1,-2.000000095E-3,1.499799968E-1
2.672530630E-1,8.500000089E-2,4.999999888E-3,-2.999999933E-2,9.027735104E-2
2.769899080E-1,4.800000042E-2,-6.800000370E-2,-4.800000042E-2,9.608330023E-2
2.867265160E-1,-3.700000048E-2,-6.700000167E-2,-2.529999912E-1,2.643236573E-1
2.964632060E-1,1.000000047E-3,-1.519999951E-1,-3.009999990E-1,3.372031998E-1
3.062000610E-1,4.899999872E-2,-2.409999967E-1,-2.720000148E-1,3.666960680E-1
3.159367560E-1,4.699999839E-2,-2.560000122E-1,-2.430000007E-1,3.560814604E-1
3.256735760E-1,3.700000048E-2,-2.709999979E-1,-2.300000042E-1,3.573653604E-1
3.354102700E-1,4.199999943E-2,-2.319999933E-1,-1.089999974E-1,2.597479476E-1
3.451470900E-1,6.700000167E-2,-2.099999934E-1,8.360000253E-1,8.645721715E-1
3.548837850E-1,1.400000006E-1,-3.569999933E-1,9.599999785E-1,1.033754784E0
3.646206390E-1,6.899999827E-2,-2.220000029E-1,6.240000129E-1,6.658986538E-1
3.743573330E-1,-3.299999982E-2,1.799999923E-2,2.140000015E-1,2.172763232E-1
3.840941630E-1,-5.200000107E-2,9.300000221E-2,5.799999833E-2,1.213136444E-1
3.938308570E-1,2.600000054E-2,6.100000069E-2,8.200000226E-2,1.054561543E-1
4.035677160E-1,9.300000221E-2,3.299999982E-2,5.799999833E-2,1.144639690E-1
4.133044100E-1,1.040000021E-1,6.899999827E-2,8.799999952E-2,1.527121479E-1
4.230410260E-1,9.700000286E-2,8.100000024E-2,8.799999952E-2,1.539935080E-1
4.327778690E-1,8.500000089E-2,6.400000304E-2,1.200000010E-2,1.070747428E-1
