"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.814790300E-2,7.299999893E-2,-9.300000221E-2,-2.060000002E-1,2.375163160E-1
5.788460900E-2,-1.300000027E-2,1.700000092E-2,4.100000113E-2,4.624932574E-2
6.762148300E-2,-8.200000226E-2,1.099999994E-1,2.759999931E-1,3.082206943E-1
7.735809900E-2,2.199999988E-2,-5.900000036E-2,4.720000029E-1,4.761816909E-1
8.709483900E-2,-8.100000024E-2,-1.250000000E-1,6.129999757E-1,6.308367223E-1
9.683168300E-2,-2.619999945E-1,-1.019999981E-1,7.110000253E-1,7.645711430E-1
1.065683290E-1,-3.750000000E-1,-9.099999815E-2,8.050000072E-1,8.927099256E-1
1.163050200E-1,-4.110000134E-1,-9.899999946E-2,8.460000157E-1,9.457473434E-1
1.260418990E-1,-4.090000093E-1,-1.299999952E-1,8.050000072E-1,9.122532641E-1
1.357785930E-1,-3.930000067E-1,-1.640000045E-1,8.489999771E-1,9.498136490E-1
1.455152180E-1,-2.960000038E-1,-1.220000014E-1,7.969999909E-1,8.588998709E-1
1.552520620E-1,-1.850000024E-1,-1.410000026E-1,5.939999819E-1,6.379200421E-1
1.649887660E-1,-6.800000370E-2,-1.679999977E-1,3.910000026E-1,4.309628775E-1
1.747253820E-1,-4.100000113E-2,-1.860000044E-1,2.099999934E-1,2.835083755E-1
1.844622500E-1,-6.000000052E-3,-1.959999949E-1,8.100000024E-2,2.121626688E-1
1.941989440E-1,3.700000048E-2,-2.099999934E-1,-5.600000173E-2,2.204654111E-1
2.039355840E-1,1.150000021E-1,-2.540000081E-1,-2.060000002E-1,3.466655516E-1
2.136724130E-1,1.749999970E-1,-3.330000043E-1,-3.939999938E-1,5.447476452E-1
2.234090300E-1,9.099999815E-2,-3.160000145E-1,-3.869999945E-1,5.078444689E-1
2.331457390E-1,8.699999750E-2,-3.449999988E-1,-2.910000086E-1,4.596466074E-1
2.428825860E-1,7.299999893E-2,-3.479999900E-1,-8.299999684E-2,3.651328421E-1
2.526191890E-1,3.799999878E-2,-3.190000057E-1,-1.499999966E-2,3.216053537E-1
2.623558790E-1,3.200000152E-2,-2.939999998E-1,8.699999750E-2,3.082677400E-1
2.720927350E-1,4.399999976E-2,-2.520000041E-1,3.100000024E-1,4.019203945E-1
2.818293520E-1,1.000000015E-1,-2.779999971E-1,6.299999952E-1,6.958333081E-1
2.915660420E-1,1.239999980E-1,-3.190000057E-1,2.450000048E-1,4.209061718E-1
3.013026600E-1,1.260000020E-1,-2.569999993E-1,-7.900000364E-2,2.969276018E-1
3.110394940E-1,6.300000101E-2,-1.319999993E-1,1.400000043E-2,1.469319569E-1
3.207761880E-1,6.599999964E-2,-9.099999815E-2,1.669999957E-1,2.013107006E-1
3.305130270E-1,2.899999917E-2,-1.319999993E-1,1.860000044E-1,2.299152048E-1
3.402496450E-1,7.800000161E-2,-1.780000031E-1,1.870000064E-1,2.696979862E-1
3.499863400E-1,1.159999967E-1,-1.770000011E-1,1.669999957E-1,2.695811532E-1
3.597229580E-1,1.379999965E-1,-1.909999996E-1,1.070000008E-1,2.587933521E-1
3.694598020E-1,1.759999990E-1,-1.609999985E-1,1.350000054E-1,2.740839299E-1
3.791964870E-1,1.720000058E-1,-1.430000067E-1,1.420000046E-1,2.649471744E-1
3.889330680E-1,2.010000050E-1,-1.500000060E-1,4.399999976E-2,2.546311131E-1
3.986699130E-1,1.870000064E-1,-1.749999970E-1,-9.200000018E-2,2.721359980E-1
4.084066360E-1,1.650000066E-1,-1.679999977E-1,-1.829999983E-1,2.982247488E-1
4.181434800E-1,1.159999967E-1,-1.899999976E-1,-2.360000014E-1,3.244256448E-1
4.278800790E-1,2.980000079E-1,-2.070000023E-1,-1.710000038E-1,4.011159520E-1
4.376167690E-1,1.218999982E0,-1.089999974E-1,2.310000062E-1,1.245472986E0
4.473534000E-1,1.044000030E0,-7.000000216E-3,9.700000286E-2,1.048519939E0
4.570902440E-1,-1.879999936E-1,2.249999940E-1,-6.300000101E-2,2.998966406E-1
4.668268810E-1,-5.830000043E-1,2.070000023E-1,-3.269999921E-1,6.997621030E-1
4.765635710E-1,-5.529999733E-1,-1.289999932E-1,-5.960000157E-1,8.232047057E-1
4.863004170E-1,-3.039999902E-1,-3.810000122E-1,-8.209999800E-1,9.547868717E-1
4.960371120E-1,-1.630000025E-1,-3.610000014E-1,-7.450000048E-1,8.437505609E-1
5.057737270E-1,-1.729999930E-1,-2.370000035E-1,-7.400000095E-1,7.960515142E-1
5.155105710E-1,-3.149999976E-1,-1.439999938E-1,-7.089999914E-1,7.890766658E-1
5.252472660E-1,-4.079999924E-1,-1.550000012E-1,-5.590000153E-1,7.092037868E-1
5.349838810E-1,-3.619999886E-1,-2.899999917E-1,-3.880000114E-1,6.047214200E-1
5.447207200E-1,-3.149999976E-1,-3.319999874E-1,-2.890000045E-1,5.412670253E-1
5.544573380E-1,-2.800000012E-1,-3.100000024E-1,-2.119999975E-1,4.684485042E-1
5.641940430E-1,-1.990000010E-1,-3.529999852E-1,-6.499999762E-2,4.104083206E-1
5.739308840E-1,-5.299999937E-2,-3.689999878E-1,2.999999933E-2,3.739919664E-1
5.836675020E-1,-8.999999613E-3,-3.210000098E-1,7.599999756E-2,3.299969786E-1
5.934041820E-1,2.899999917E-2,-2.109999955E-1,9.499999881E-2,2.332102009E-1
6.031410280E-1,1.260000020E-1,-1.159999967E-1,6.199999899E-2,1.821428001E-1
6.128776400E-1,2.060000002E-1,-7.100000232E-2,1.410000026E-1,2.595342004E-1
6.226143310E-1,2.770000100E-1,-5.400000140E-2,1.350000054E-1,3.128418245E-1
6.323511680E-1,2.879999876E-1,-7.800000161E-2,8.200000226E-2,3.094381901E-1
6.420877850E-1,2.730000019E-1,-6.899999827E-2,2.800000086E-2,2.829734985E-1
6.518244900E-1,2.520000041E-1,6.000000052E-3,-7.699999958E-2,2.635697289E-1
6.615613360E-1,2.549999952E-1,3.599999845E-2,-1.369999945E-1,2.917018957E-1
6.712979820E-1,2.319999933E-1,3.700000048E-2,-7.199999690E-2,2.457173101E-1
6.810346730E-1,1.400000006E-1,-3.000000026E-3,1.899999939E-2,1.413152509E-1
6.907712610E-1,4.100000113E-2,-9.200000018E-2,5.900000036E-2,1.167304595E-1
7.005081340E-1,-1.289999932E-1,-2.090000063E-1,1.909999996E-1,3.111318061E-1
7.102448130E-1,-1.959999949E-1,-2.910000086E-1,3.089999855E-1,4.675232550E-1
7.199814290E-1,-1.689999998E-1,-3.230000138E-1,2.469999939E-1,4.403396483E-1
7.297182730E-1,-2.080000043E-1,-3.269999921E-1,1.500000060E-1,4.155634710E-1
7.394549670E-1,-2.179999948E-1,-2.919999957E-1,1.609999985E-1,3.983829749E-1
7.491915930E-1,-1.630000025E-1,-2.409999967E-1,1.260000020E-1,3.170583538E-1
7.589284370E-1,-6.700000167E-2,-2.039999962E-1,6.800000370E-2,2.252309907E-1
7.686651590E-1,-4.399999976E-2,-1.930000037E-1,3.999999911E-2,2.019529681E-1
7.784017750E-1,-6.400000304E-2,-1.379999965E-1,2.199999988E-2,1.537010066E-1
7.881386150E-1,-1.089999974E-1,-1.110000014E-1,8.999999613E-3,1.558300348E-1
