"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.135339800E-2,-3.759999871E-1,3.670000136E-1,1.268000007E0,1.372548366E0
6.109036400E-2,-2.980000079E-1,3.100000024E-1,1.146999955E0,1.224954245E0
7.082705600E-2,-2.610000074E-1,3.009999990E-1,1.192000031E0,1.256815849E0
8.056400800E-2,6.599999964E-2,2.730000019E-1,9.530000091E-1,9.935260531E-1
9.030085400E-2,1.920000017E-1,1.870000064E-1,4.830000103E-1,5.523785052E-1
1.000378080E-1,1.580000073E-1,1.159999967E-1,2.389999926E-1,3.090970689E-1
1.097747320E-1,-4.399999976E-2,1.509999931E-1,1.000000015E-1,1.863786420E-1
1.195114210E-1,-2.469999939E-1,2.240000069E-1,-4.699999839E-2,3.367402559E-1
1.292483420E-1,-3.950000107E-1,1.909999996E-1,-2.010000050E-1,4.826044036E-1
1.389852510E-1,-4.189999998E-1,7.699999958E-2,-3.689999878E-1,5.636053502E-1
1.487220990E-1,-5.239999890E-1,-4.199999943E-2,-5.799999833E-1,7.827770877E-1
1.584590000E-1,-6.269999743E-1,6.000000052E-3,-5.429999828E-1,8.294660626E-1
1.681959580E-1,-6.819999814E-1,-2.700000070E-2,-5.950000286E-1,9.054711529E-1
1.779326520E-1,-6.069999933E-1,-1.509999931E-1,-7.149999738E-1,9.499868169E-1
1.876696290E-1,-5.379999876E-1,-2.509999871E-1,-7.310000062E-1,9.417037694E-1
1.974065520E-1,-5.000000000E-1,-2.619999945E-1,-7.889999747E-1,9.701365663E-1
2.071434290E-1,-4.589999914E-1,-2.469999939E-1,-8.859999776E-1,1.027952309E0
2.168803500E-1,-3.790000081E-1,-2.310000062E-1,-1.003000021E0,1.096818604E0
2.266172830E-1,-3.059999943E-1,-2.020000070E-1,-1.046000004E0,1.108402457E0
2.363539780E-1,-1.990000010E-1,-1.800000072E-1,-1.006000042E0,1.041171017E0
2.460909420E-1,-9.899999946E-2,-2.450000048E-1,-9.710000157E-1,1.006313586E0
2.558277900E-1,-1.049999967E-1,-3.350000083E-1,-8.719999790E-1,9.400180681E-1
2.655647300E-1,-3.289999962E-1,-2.779999971E-1,-8.960000277E-1,9.941534315E-1
2.753016530E-1,-6.480000019E-1,-1.700000018E-1,-9.580000043E-1,1.169002999E0
2.850385900E-1,-8.180000186E-1,-1.420000046E-1,-7.519999743E-1,1.120174983E0
2.947752850E-1,-7.770000100E-1,-2.639999986E-1,-4.670000076E-1,9.442002023E-1
3.045121450E-1,-6.320000291E-1,-3.059999943E-1,-2.099999972E-2,7.024962870E-1
