"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.823958600E-2,-2.000000095E-3,-5.799999833E-2,-1.089999974E-1,1.234868383E-1
5.797720200E-2,1.200000010E-2,1.099999994E-1,2.259999961E-1,2.516346520E-1
6.771499000E-2,7.000000216E-3,9.600000083E-2,2.049999982E-1,2.264729552E-1
7.745260500E-2,-1.070000008E-1,-1.400000043E-2,-8.200000226E-2,1.355322860E-1
8.719047800E-2,-2.400000021E-2,-4.699999839E-2,-4.769999981E-1,4.799104063E-1
9.692825000E-2,3.799999878E-2,-2.999999933E-2,-8.539999723E-1,8.553712367E-1
1.066658600E-1,3.999999911E-2,1.720000058E-1,-1.156000018E0,1.169410126E0
1.164036270E-1,3.089999855E-1,4.219999909E-1,-1.297999978E0,1.399417352E0
1.261412590E-1,6.259999871E-1,6.409999728E-1,-1.391999960E0,1.655421649E0
1.358790260E-1,1.261999965E0,1.065000057E0,-1.412999988E0,2.173347188E0
1.456168620E-1,1.542000055E0,1.307000041E0,-1.243999958E0,2.373509885E0
1.553544220E-1,1.394999981E0,1.590999961E0,-1.600999951E0,2.653395309E0
1.650922660E-1,1.072000027E0,1.649999976E0,-1.245000005E0,2.328456354E0
1.748298970E-1,5.979999900E-1,1.651000023E0,-9.520000219E-1,1.997425619E0
1.845676640E-1,6.069999933E-1,1.707999945E0,9.240000248E-1,2.034573382E0
1.943053210E-1,-1.641000032E0,4.760000229E0,4.685999870E0,6.878159497E0
2.040431650E-1,-3.361999989E0,5.013000011E0,7.070000172E-1,6.077257775E0
2.137809160E-1,-1.412999988E0,4.888000011E0,-1.297999978E0,5.251087223E0
2.235185320E-1,-9.530000091E-1,4.381000042E0,-2.798000097E0,5.284900655E0
2.332563140E-1,-1.429999948E0,2.871999979E0,-1.945999980E0,3.752359211E0
2.429939310E-1,1.070000008E-1,3.078999996E0,-2.793999910E0,4.159101523E0
2.527316940E-1,8.640000224E-1,1.396000028E0,-4.751999855E0,5.027605269E0
2.624693110E-1,1.593999982E0,2.509999871E-1,-5.026000023E0,5.278684795E0
2.722070820E-1,2.706000090E0,-2.489999980E-1,-4.073999882E0,4.897133092E0
2.819447000E-1,2.707000017E0,-5.339999795E-1,-3.638000011E0,4.565966399E0
2.916825830E-1,2.174000025E0,-7.149999738E-1,-3.311000109E0,4.024950036E0
3.014203540E-1,1.574000001E0,-1.246000051E0,-2.640000105E0,3.316563385E0
3.111579790E-1,-6.750000119E-1,-1.888000011E0,1.133999944E0,2.303502753E0
3.208957460E-1,1.853000045E0,1.514000058E0,-6.990000010E-1,2.492871104E0
3.306333530E-1,2.671000004E0,2.003999949E0,-2.558000088E0,4.206378640E0
3.403711970E-1,1.450999975E0,6.389999986E-1,-1.671000004E0,2.303467590E0
3.501087140E-1,2.046000004E0,6.100000069E-2,-1.470999956E0,2.520650290E0
3.598464660E-1,3.240000010E0,-1.258000016E0,-2.555000067E0,4.313721067E0
3.695840890E-1,5.543000221E0,-4.251999855E0,-3.690999985E0,7.901128724E0
3.793219330E-1,5.956999779E0,-4.906000137E0,-2.349999905E0,8.067043031E0
3.890596990E-1,2.361999989E0,-1.628999949E0,-6.429999828E0,7.041135034E0
3.987973140E-1,-5.493999958E0,1.623999953E0,-4.085000038E0,7.036237396E0
4.085351150E-1,-9.567999840E0,4.013000011E0,-1.853000045E0,1.053965840E1
4.182727320E-1,-1.016899967E1,5.006999969E0,1.057999969E0,1.138411028E1
4.280104990E-1,-9.144000053E0,5.183000088E0,4.169000149E0,1.130737764E1
4.377481170E-1,-7.270999908E0,5.407000065E0,6.340000153E0,1.105887387E1
4.474859470E-1,-5.625999928E0,5.249000072E0,8.211000443E0,1.125275101E1
4.572237180E-1,-5.460000038E0,4.243999958E0,8.086999893E0,1.064061574E1
4.669613010E-1,-5.537000179E0,2.989000082E0,7.160999775E0,9.532702149E0
4.766990680E-1,-5.486000061E0,1.687000036E0,5.960000038E0,8.274283428E0
4.864367030E-1,-3.582000017E0,1.210999966E0,4.893000126E0,6.183744438E0
4.961744700E-1,-3.766000032E0,2.989999950E-1,5.692999840E0,6.832452299E0
5.059121070E-1,-3.453999996E0,-7.749999762E-1,5.604000092E0,6.628390300E0
5.156498940E-1,-3.391000032E0,1.879999936E-1,5.192999840E0,6.204955484E0
5.253875120E-1,-3.164000034E0,1.761000037E0,3.286000013E0,4.889766194E0
5.351253070E-1,-3.911000013E0,2.783999920E0,1.705000043E0,5.094467765E0
5.448631530E-1,-2.369999886E0,4.730000019E0,3.790000081E-1,5.304096591E0
5.546007850E-1,6.499999762E-2,6.122000217E0,-7.810000181E-1,6.171958578E0
5.643385530E-1,1.427000046E0,5.794000149E0,-6.690000296E-1,6.004525618E0
5.740761600E-1,1.766000032E0,5.046999931E0,1.609999985E-1,5.349475247E0
5.838139270E-1,-7.580000162E-1,4.866000175E0,1.266999960E0,5.085057584E0
5.935515550E-1,-2.887000084E0,4.771999836E0,2.226000071E0,6.005150142E0
6.032893220E-1,-5.006000042E0,3.789000034E0,2.279999971E0,6.679442907E0
6.130271730E-1,-4.994999886E0,2.352999926E0,2.996999979E0,6.282407292E0
6.227647140E-1,-3.154999971E0,1.733000040E0,1.940000057E0,4.089121444E0
6.325023620E-1,-1.792000055E0,2.111000061E0,9.139999747E-1,2.915987210E0
6.422402060E-1,-8.059999943E-1,2.308000088E0,-8.159999847E-1,2.577276929E0
6.519779750E-1,2.730000019E-1,1.544000030E0,-1.911999941E0,2.472692635E0
6.617155160E-1,8.880000114E-1,8.500000238E-1,-1.712000012E0,2.107602454E0
6.714531410E-1,9.670000076E-1,2.060000002E-1,-5.350000262E-1,1.124166377E0
6.811909810E-1,8.420000076E-1,-1.442999959E0,4.749999940E-1,1.736904686E0
6.909287160E-1,1.959999949E-1,-3.463999987E0,-8.439999819E-1,3.570720918E0
7.006663330E-1,-1.664999962E0,-4.566999912E0,-4.724999905E0,6.779036596E0
7.104041150E-1,-3.256999969E0,-5.960999966E0,-7.501999855E0,1.012035430E1
7.201417330E-1,-5.672999859E0,-6.473000050E0,-1.502000046E1,1.731135670E1
7.298795040E-1,-1.218900013E1,-2.915999889E0,-1.398299980E1,1.877762133E1
7.396171210E-1,-9.451000214E0,-1.486999989E0,-8.736000061E0,1.295570419E1
7.493549280E-1,-1.381000042E0,-4.640999794E0,-5.030000210E0,6.981901053E0
7.590927450E-1,3.765000105E0,-6.223999977E0,2.540000081E-1,7.278593100E0
7.688303620E-1,4.791999817E0,-7.011000156E0,4.326000214E0,9.530564689E0
7.785681110E-1,2.724999905E0,-6.964000225E0,7.147999763E0,1.034489363E1
7.883057280E-1,-5.669999719E-1,-6.315999985E0,8.444000244E0,1.056004190E1
7.980434750E-1,-2.581000090E0,-5.392000198E0,8.694000244E0,1.055087048E1
8.077810930E-1,-2.946000099E0,-4.800000191E0,8.062000275E0,9.834366621E0
8.175188460E-1,-2.479000092E0,-4.696000099E0,7.758999825E0,9.402124051E0
8.272564530E-1,-1.720000029E0,-4.522999763E0,8.338999748E0,9.641309235E0
8.369942310E-1,-6.219999790E-1,-4.482999802E0,9.128000259E0,1.018845228E1
8.467320770E-1,4.500000179E-2,-4.252999783E0,9.154000282E0,1.009384730E1
8.564695930E-1,-2.080000043E-1,-3.714999914E0,7.998000145E0,8.821139081E0
8.662072090E-1,-6.529999971E-1,-3.033999920E0,5.980000019E0,6.737355916E0
8.759449660E-1,-5.619999766E-1,-2.243000031E0,3.823999882E0,4.468765848E0
8.856828120E-1,8.000000380E-3,-1.425999999E0,1.848999977E0,2.335024821E0
8.954204150E-1,6.019999981E-1,-8.119999766E-1,3.959999979E-1,1.085616856E0
9.051579690E-1,7.779999971E-1,-3.470000029E-1,-6.090000272E-1,1.047174308E0
9.148958130E-1,5.199999809E-1,-8.699999750E-2,-1.292000055E0,1.395432952E0
9.246335870E-1,6.599999964E-2,-1.899999939E-2,-1.792999983E0,1.794314894E0
9.343712050E-1,-3.000000119E-1,-1.659999937E-1,-1.970999956E0,2.000599118E0
9.441089720E-1,-5.440000296E-1,-4.399999976E-1,-1.582999945E0,1.730729573E0
9.538465930E-1,-9.679999948E-1,-4.769999981E-1,-1.307000041E0,1.694934245E0
9.635843610E-1,-1.274999976E0,-3.479999900E-1,-1.348999977E0,1.888525846E0
9.733219640E-1,-1.088999987E0,-2.599999905E-1,-1.455000043E0,1.835904706E0
9.830597310E-1,-4.429999888E-1,-2.870000005E-1,-1.062000036E0,1.185943535E0
9.927973440E-1,2.370000035E-1,-1.379999965E-1,-2.419999987E-1,3.657553828E-1
1.002535126E0,6.679999828E-1,-1.080000028E-1,1.150000021E-1,6.863767028E-1
1.012272733E0,7.789999843E-1,-4.099999964E-1,9.099999815E-2,8.849982894E-1
1.022010501E0,3.319999874E-1,-5.360000134E-1,-2.240000069E-1,6.691008960E-1
1.031748142E0,4.500000179E-2,-4.720000029E-1,-7.360000014E-1,8.755027156E-1
1.041485909E0,2.339999974E-1,-3.359999955E-1,-1.453999996E0,1.510552212E0
